_id,OBJECTID,ID,ADDRESSNUMBERTEXT,ADDRESSSTREET,FRONTINGSTREET,SIDE,FROMSTREET,DIRECTION,SITEID,WARD,BIA,ASSETTYPE,STATUS,STYLE,BARCODE,POSTERBOARD,POSTERBOARDSTATUS,SDE_STATE_ID,geometry
726,1683,TR-00454,100,St Joseph St,Queen's Park Cres E,North,St Joseph St,East,1930,11,,B,Existing,Provincial,00TS6594,Yes,Existing,0,"{'type': 'MultiPoint', 'coordinates': [[-79.3912223837149, 43.6653109095562]]}"
727,1685,TR-03912,3700,Steeles Ave W,Steeles Ave W,North,Signet Dr,East,T8307,07,,S,Existing,Provincial,S0708307,No,,0,"{'type': 'MultiPoint', 'coordinates': [[-79.5430359314752, 43.7711433484548]]}"
728,1687,TR-03914,,,Steeles Ave W,North,Jane St,West,T8286,07,,T,Existing,Provincial,S0808286,Yes,Existing,0,"{'type': 'MultiPoint', 'coordinates': [[-79.5220525141314, 43.7755122608332]]}"
729,1688,TR-03915,2900,Steeles Ave W,Steeles Ave W,North,Murray Ross Pkwy,East,T1593,07,,T,Existing,Provincial,S0801593,Yes,Existing,0,"{'type': 'MultiPoint', 'coordinates': [[-79.5167257437008, 43.7765959413279]]}"
730,1689,TR-03916,3111,Steeles Ave W,Steeles Ave W,South,Founders Rd,East,T1594,07,,I,Existing,Provincial,0TS12620,No,,0,"{'type': 'MultiPoint', 'coordinates': [[-79.5037803837491, 43.7791904267471]]}"
731,1690,TR-03919,2100,Steeles Ave W,Steeles Ave W,North,Petrolia Rd,East,T1598,06,DuKe Heights,S,Existing,Provincial,S0801598,No,,0,"{'type': 'MultiPoint', 'coordinates': [[-79.4898905917872, 43.7827915392314]]}"
732,1691,TR-03927,,,Steeles Ave E,North,Maxome Ave,West,T8256,18,,LCN,Existing,Provincial,S2408256,No,,0,"{'type': 'MultiPoint', 'coordinates': [[-79.4093555197332, 43.8005078422764]]}"
733,1692,TR-03928,,,Steeles Ave E,North,Willowdale Ave,East,T8247,18,,LCN,Existing,Provincial,S2408247,No,,0,"{'type': 'MultiPoint', 'coordinates': [[-79.4143306534492, 43.7994109682955]]}"
734,1693,TR-03929,,,Steeles Ave W,South,Yonge St,West,T8299,18,,B,Existing,Enseicom,,No,,0,"{'type': 'MultiPoint', 'coordinates': [[-79.4228929369394, 43.797277713756]]}"
735,1694,TR-03931,,,Steeles Ave W,North,Village Gt,East,T8314,18,,S,Existing,Provincial,S2308314,No,,0,"{'type': 'MultiPoint', 'coordinates': [[-79.4407425811542, 43.793605657199]]}"
736,1695,TR-03872,2663,Steeles Ave W,Steeles Ave W,South,Shale Gt,West,T1597,06,DuKe Heights,B,Existing,Provincial,0TS12706,Yes,Existing,0,"{'type': 'MultiPoint', 'coordinates': [[-79.4875903003366, 43.783022975263]]}"
737,1696,TR-03934,,,Steeles Ave W,North,Hidden Trl,East,T8267,06,,S,Existing,Provincial,S1008267,No,,0,"{'type': 'MultiPoint', 'coordinates': [[-79.4630079133289, 43.7888642045197]]}"
738,1697,TR-03969,,,Queens Quay W,Centre South,Dan Leckie Way,East,T13369C,10,The Waterfront,Q10-SA,Existing,Provincial,TS12604L,No,,0,"{'type': 'MultiPoint', 'coordinates': [[-79.3962600479113, 43.6367924442733]]}"
739,1698,TR-03970,,,Queens Quay W,Centre South,Dan Leckie Way,East,T13369B,10,The Waterfront,Q10-SA,Existing,Provincial,TS12606M,No,,0,"{'type': 'MultiPoint', 'coordinates': [[-79.3962973528362, 43.6367781929269]]}"
